study,ece,brier,n
StudyB,0.09091555687409603,0.08353903337185146,858
StudyF,0.08001854574994026,0.13380048501013117,1067
StudyL,0.0689706476933829,0.11503474045726553,990
StudyN,0.12893122958496955,0.2039003986535931,473
overall,0.011604452134408198,0.12537511503975823,3388
